,Player,Age,Position,Nation,Value
0,Manuel Neuer,36,Goalkeeper,Germany,12600000.0
1,Sven Ulreich,33,Goalkeeper,Germany,810000.0
2,Christian Früchtl,22,Goalkeeper,Germany,540000.0
3,Lucas Hernández,26,Defender,France,45000000.0
4,Dayot Upamecano,23,Defender,France,40500000.0
5,Niklas Süle,26,Defender,Germany,31500000.0
6,Tanguy Nianzou,19,Defender,France,8100000.0
7,Alphonso Davies,21,Defender,Canada,63000000.0
8,Omar Richards,24,Defender,England,6300000.0
9,Benjamin Pavard,26,Defender,France,27000000.0
10,Josip Stanisic,22,Defender,Croatia,3600000.0
11,Bouna Sarr,30,Defender,Senegal,2700000.0
12,Joshua Kimmich,27,midfield,Germany,76500000.0
13,Marc Roca,25,midfield,Spain,6300000.0
14,Leon Goretzka,27,midfield,Germany,63000000.0
15,Marcel Sabitzer,28,midfield,Austria,19800000.0
16,Corentin Tolisso,27,midfield,France,13500000.0
17,Jamal Musiala,19,midfield,Germany,49500000.0
18,Paul Wanner,16,midfield,Germany,1800000.0
19,Malik Tillman,19,midfield,Germany,1350000.0
20,Leroy Sané,26,attack,Germany,63000000.0
21,Serge Gnabry,26,attack,Germany,63000000.0
22,Kingsley Coman,25,attack,France,54000000.0
23,Thomas Müller,32,attack,Germany,22500000.0
24,Robert Lewandowski,33,attack,Poland,45000000.0
25,Eric Maxim Choupo-Moting,33,attack,Cameroon,3150000.0
0,Gregor Kobel,24,Goalkeeper,Switzerland,18000000.0
1,Roman Bürki,31,Goalkeeper,Switzerland,1620000.0
2,Luca Unbehaun,21,Goalkeeper,Germany,1350000.0
3,Marwin Hitz,34,Goalkeeper,Switzerland,900000.0
4,Stefan Drljaca,22,Goalkeeper,Germany,180000.0
5,Manuel Akanji,26,Defender,Switzerland,27000000.0
6,Dan-Axel Zagadou,22,Defender,France,8100000.0
7,Mats Hummels,33,Defender,Germany,8100000.0
8,Marin Pongracic,24,Defender,Croatia,6750000.0
9,Soumaïla Coulibaly,18,Defender,France,675000.0
10,Raphaël Guerreiro,28,Defender,Portugal,31500000.0
11,Nico Schulz,29,Defender,Germany,5400000.0
12,Marcel Schmelzer,34,Defender,Germany,450000.0
13,Thomas Meunier,30,Defender,Belgium,8100000.0
14,Mateu Morey Bauzà,22,Defender,Spain,3600000.0
15,Felix Passlack,23,Defender,Germany,2250000.0
16,Emre Can,28,midfield,Germany,14400000.0
17,Axel Witsel,33,midfield,Belgium,3600000.0
18,Abdoulaye Kamara,17,midfield,Guinea,900000.0
19,Jude Bellingham,18,midfield,England,67500000.0
20,Mahmoud Dahoud,26,midfield,Germany,16200000.0
21,Giovanni Reyna,19,midfield,United States,37800000.0
22,Julian Brandt,25,midfield,Germany,22500000.0
23,Marco Reus,32,midfield,Germany,11700000.0
24,Reinier,20,midfield,Brazil,9000000.0
25,Thorgan Hazard,29,attack,Belgium,18000000.0
26,Marius Wolf,26,attack,Germany,4500000.0
27,Erling Haaland,21,attack,Norway,135000000.0
28,Donyell Malen,23,attack,Netherlands,24300000.0
29,Youssoufa Moukoko,17,attack,Germany,13500000.0
30,Steffen Tigges,23,attack,Germany,1350000.0
0,Péter Gulácsi,31,Goalkeeper,Hungary,9900000.0
1,Josep Martínez,23,Goalkeeper,Spain,2250000.0
2,Philipp Tschauner,36,Goalkeeper,Germany,270000.0
3,Fabian Eutinger,18,Goalkeeper,Germany,90000.0
4,Josko Gvardiol,20,Defender,Croatia,27000000.0
5,Lukas Klostermann,25,Defender,Germany,20700000.0
6,Mohamed Simakan,21,Defender,France,16200000.0
7,Willi Orbán,29,Defender,Hungary,12600000.0
8,Marcel Halstenberg,30,Defender,Germany,6300000.0
9,Nordi Mukiele,24,Defender,France,22500000.0
10,Benjamin Henrichs,25,Defender,Germany,10800000.0
11,Solomon Bonnah,18,Defender,Netherlands,675000.0
12,Tyler Adams,23,midfield,United States,15300000.0
13,Konrad Laimer,24,midfield,Austria,23400000.0
14,Amadou Haidara,24,midfield,Mali,21600000.0
15,Kevin Kampl,31,midfield,Slovenia,7200000.0
16,Sidney Raebiger,16,midfield,Germany,675000.0
17,Ben Klefisch,18,midfield,Germany,180000.0
18,Angeliño,25,midfield,Spain,27000000.0
19,Christopher Nkunku,24,midfield,France,58500000.0
20,Dani Olmo,23,midfield,Spain,40500000.0
21,Dominik Szoboszlai,21,attack,Hungary,25200000.0
22,Emil Forsberg,30,attack,Sweden,14400000.0
23,Hugo Novoa,19,attack,Spain,2700000.0
24,André Silva,26,attack,Portugal,34200000.0
25,Yussuf Poulsen,27,attack,Denmark,18900000.0
0,Lukas Hradecky,32,Goalkeeper,Finland,5400000.0
1,Andrey Lunev,30,Goalkeeper,Russia,3600000.0
2,Lennart Grill,23,Goalkeeper,Germany,900000.0
3,Niklas Lomb,28,Goalkeeper,Germany,225000.0
4,Edmond Tapsoba,23,Defender,Burkina Faso,36000000.0
5,Jonathan Tah,26,Defender,Germany,22500000.0
6,Odilon Kossounou,21,Defender,Cote d'Ivoire,18000000.0
7,Piero Hincapié,20,Defender,Ecuador,15300000.0
8,Mitchel Bakker,21,Defender,Netherlands,12600000.0
9,Daley Sinkgraven,26,Defender,Netherlands,4050000.0
10,Jeremie Frimpong,21,Defender,Netherlands,18000000.0
11,Timothy Fosu-Mensah,24,Defender,Netherlands,3600000.0
12,Julian Baumgartlinger,34,midfield,Austria,1080000.0
13,Kerem Demirbay,28,midfield,Germany,13500000.0
14,Exequiel Palacios,23,midfield,Argentina,13500000.0
15,Robert Andrich,27,midfield,Germany,11700000.0
16,Charles Aránguiz,32,midfield,Chile,4500000.0
17,Zidan Sertdemir,17,midfield,Denmark,1800000.0
18,Florian Wirtz,18,midfield,Germany,63000000.0
19,Moussa Diaby,22,attack,France,49500000.0
20,Paulinho,21,attack,Brazil,9900000.0
21,Amine Adli,21,attack,France,10800000.0
22,Karim Bellarabi,31,attack,Germany,3150000.0
23,Patrik Schick,26,attack,Czech Republic,36000000.0
24,Sardar Azmoun,27,attack,Iran,22500000.0
25,Lucas Alario,29,attack,Argentina,9000000.0
26,Iker Bravo,17,attack,Spain,900000.0
0,Koen Casteels,29,Goalkeeper,Belgium,12600000.0
1,Pavao Pervan,34,Goalkeeper,Austria,540000.0
2,Philipp Schulze,19,Goalkeeper,Germany,180000.0
3,Niklas Klinger,26,Goalkeeper,Germany,90000.0
4,Maxence Lacroix,22,Defender,France,18000000.0
5,Sebastiaan Bornauw,23,Defender,Belgium,11700000.0
6,John Anthony Brooks,29,Defender,United States,10800000.0
7,Micky van de Ven,20,Defender,Netherlands,2700000.0
8,Anselmo García McNulty,19,Defender,Ireland,270000.0
9,Paulo Otávio,27,Defender,Brazil,6300000.0
10,Jérôme Roussillon,29,Defender,France,6300000.0
11,Kevin Mbabu,26,Defender,Switzerland,10800000.0
12,William,27,Defender,Brazil,2700000.0
13,Xaver Schlager,24,midfield,Austria,24300000.0
14,Maximilian Arnold,27,midfield,Germany,15300000.0
15,Aster Vranckx,19,midfield,Belgium,9000000.0
16,Yannick Gerhardt,28,midfield,Germany,4950000.0
17,Ridle Baku,23,midfield,Germany,18000000.0
18,Kevin Paredes,18,midfield,United States,3600000.0
19,Felix Nmecha,21,midfield,Germany,900000.0
20,Renato Steffen,30,attack,Switzerland,2520000.0
21,Dodi Lukébakio,24,attack,Belgium,8100000.0
22,Luca Waldschmidt,25,attack,Germany,6300000.0
23,Maximilian Philipp,28,attack,Germany,4950000.0
24,Max Kruse,34,attack,Germany,3150000.0
25,Lukas Nmecha,23,attack,Germany,16200000.0
26,Jonas Wind,23,attack,Denmark,9000000.0
27,Bartosz Bialek,20,attack,Poland,3600000.0
0,Yann Sommer,33,Goalkeeper,Switzerland,4500000.0
1,Tobias Sippel,34,Goalkeeper,Germany,360000.0
2,Jan Olschowsky,20,Goalkeeper,Germany,270000.0
3,Jonas Kersken,21,Goalkeeper,Germany,90000.0
4,Matthias Ginter,28,Defender,Germany,21600000.0
5,Nico Elvedi,25,Defender,Switzerland,20700000.0
6,Marvin Friedrich,26,Defender,Germany,9000000.0
7,Jordan Beyer,21,Defender,Germany,2700000.0
8,Tony Jantschke,31,Defender,Germany,1080000.0
9,Mamadou Doucouré,23,Defender,France,90000.0
10,Ramy Bensebaini,26,Defender,Algeria,15300000.0
11,Luca Netz,18,Defender,Germany,4500000.0
12,Joe Scally,19,Defender,United States,7200000.0
13,Stefan Lainer,29,Defender,Austria,5400000.0
14,Christoph Kramer,31,midfield,Germany,3600000.0
15,Florian Neuhaus,25,midfield,Germany,19800000.0
16,Kouadio Koné,20,midfield,France,13500000.0
17,Lászlo Bénes,24,midfield,Slovakia,3150000.0
18,Keanan Bennetts,23,midfield,England,1170000.0
19,Lars Stindl,33,midfield,Germany,3150000.0
20,Marcus Thuram,24,attack,France,18000000.0
21,Jonas Hofmann,29,attack,Germany,14400000.0
22,Patrick Herrmann,31,attack,Germany,2250000.0
23,Conor Noß,21,attack,Ireland,360000.0
24,Alassane Plea,29,attack,France,13500000.0
25,Breel Embolo,25,attack,Switzerland,12600000.0
0,Oliver Baumann,31,Goalkeeper,Germany,4500000.0
1,Philipp Pentke,36,Goalkeeper,Germany,270000.0
2,Luca Philipp,21,Goalkeeper,Germany,270000.0
3,Nahue Noll,19,Goalkeeper,Germany,180000.0
4,Stefan Posch,24,Defender,Austria,9900000.0
5,Chris Richards,22,Defender,United States,6750000.0
6,Kevin Akpoguma,26,Defender,Nigeria,5400000.0
7,Kevin Vogt,30,Defender,Germany,3600000.0
8,Justin Che,18,Defender,United States,2700000.0
9,Havard Nordtveit,31,Defender,Norway,1350000.0
10,Ermin Bicakcic,32,Defender,Bosnia-Herzegovina,1170000.0
11,Kasim Adams,26,Defender,Ghana,1080000.0
12,Benjamin Hübner,32,Defender,Germany,900000.0
13,David Raum,23,Defender,Germany,15300000.0
14,Pavel Kaderabek,29,Defender,Czech Republic,6300000.0
15,Florian Grillitsch,26,midfield,Austria,14400000.0
16,Diadié Samassékou,26,midfield,Mali,14400000.0
17,Angelo Stiller,21,midfield,Germany,5400000.0
18,Sebastian Rudy,32,midfield,Germany,2250000.0
19,Dennis Geiger,23,midfield,Germany,9000000.0
20,Marco John,20,midfield,Germany,3600000.0
21,Christoph Baumgartner,22,midfield,Austria,19800000.0
22,Tom Bischof,16,midfield,Germany,675000.0
23,Jacob Bruun Larsen,23,attack,Denmark,5850000.0
24,Robert Skov,25,attack,Denmark,7200000.0
25,Andrej Kramaric,30,attack,Croatia,16200000.0
26,Ihlas Bebou,27,attack,Togo,14400000.0
27,Georginio Rutter,19,attack,France,11700000.0
28,Munas Dabbur,29,attack,Israel,5400000.0
29,Fisnik Asllani,19,attack,Germany,360000.0
0,Kevin Trapp,31,Goalkeeper,Germany,5850000.0
1,Diant Ramaj,20,Goalkeeper,Germany,450000.0
2,Jens Grahl,33,Goalkeeper,Germany,180000.0
3,Jannik Horz,18,Goalkeeper,Germany,180000.0
4,Evan Ndicka,22,Defender,France,25200000.0
5,Tuta,22,Defender,Brazil,9000000.0
6,Martin Hinteregger,29,Defender,Austria,8100000.0
7,Christopher Lenz,27,Defender,Germany,4500000.0
8,Jan Schröder,18,Defender,Germany,180000.0
9,Danny da Costa,28,Defender,Germany,3150000.0
10,Almamy Touré,25,Defender,Mali,2250000.0
11,Erik Durm,29,Defender,Germany,1800000.0
12,Timothy Chandler,32,Defender,United States,1350000.0
13,Kristijan Jakic,24,midfield,Croatia,6750000.0
14,Stefan Ilsanker,32,midfield,Austria,1350000.0
15,Makoto Hasebe,38,midfield,Japan,720000.0
16,Djibril Sow,25,midfield,Switzerland,15750000.0
17,Ajdin Hrustic,25,midfield,Australia,2700000.0
18,Sebastian Rode,31,midfield,Germany,2250000.0
19,Filip Kostic,29,midfield,Serbia,18000000.0
20,Daichi Kamada,25,midfield,Japan,19800000.0
21,Jesper Lindström,22,midfield,Denmark,12600000.0
22,Aymen Barkok,23,midfield,Morocco,1800000.0
23,Gianluca Schäfer,19,attack,Germany,135000.0
24,Jens Petter Hauge,22,attack,Norway,7200000.0
25,Ansgar Knauff,20,attack,Germany,4500000.0
26,Antonio Foti,18,attack,Cyprus,360000.0
27,Rafael Borré,26,attack,Colombia,15300000.0
28,Gonçalo Paciência,27,attack,Portugal,3150000.0
29,Sam Lammers,24,attack,Netherlands,2700000.0
30,Ragnar Ache,23,attack,Germany,1620000.0
31,Enrique Herrero García,17,attack,Spain,270000.0
0,Florian Müller,24,Goalkeeper,Germany,5400000.0
1,Fabian Bredlow,27,Goalkeeper,Germany,450000.0
2,Florian Schock,20,Goalkeeper,Germany,180000.0
3,Konstantinos Mavropanos,24,Defender,Greece,15300000.0
4,Waldemar Anton,25,Defender,Germany,5400000.0
5,Hiroki Ito,22,Defender,Japan,2700000.0
6,Pascal Stenzel,26,Defender,Germany,1350000.0
7,Borna Sosa,24,Defender,Croatia,18000000.0
8,Orel Mangala,24,midfield,Belgium,13500000.0
9,Wataru Endo,29,midfield,Japan,9000000.0
10,Atakan Karazor,25,midfield,Germany,3150000.0
11,Naouirou Ahamada,20,midfield,France,1620000.0
12,Clinton Mola,21,midfield,England,900000.0
13,Enzo Millot,19,midfield,France,1800000.0
14,Nikolas Nartey,22,midfield,Denmark,1620000.0
15,Silas Katompa Mvumpa,23,midfield,DR Congo,13500000.0
16,Roberto Massimo,21,midfield,Germany,2700000.0
17,Erik Thommy,27,midfield,Germany,1620000.0
18,Philipp Förster,27,midfield,Germany,2250000.0
19,Mateo Klimowicz,21,midfield,Germany,1800000.0
20,Lilian Egloff,19,midfield,Germany,900000.0
21,Ömer Beyaz,18,midfield,Turkey,900000.0
22,Daniel Didavi,32,midfield,Germany,630000.0
23,Tanguy Coulibaly,21,attack,France,4050000.0
24,Chris Führich,24,attack,Germany,3600000.0
25,Sasa Kalajdzic,24,attack,Austria,19800000.0
26,Tiago Tomás,19,attack,Portugal,4500000.0
