,Player,Age,Position,Nation,Value
27,Omar Marmoush,23,attack,Egypt,4050000.0
28,Wahid Faghir,18,attack,Denmark,2700000.0
29,Alexis Tibidi,18,attack,France,1080000.0
30,Mohamed Sankoh,18,attack,Netherlands,900000.0
0,Mark Flekken,28,Goalkeeper,Netherlands,4950000.0
1,Noah Atubolu,19,Goalkeeper,Germany,1350000.0
2,Benjamin Uphoff,28,Goalkeeper,Germany,450000.0
3,Nico Schlotterbeck,22,Defender,Germany,25200000.0
4,Philipp Lienhart,25,Defender,Austria,15300000.0
5,Keven Schlotterbeck,24,Defender,Germany,3150000.0
6,Manuel Gulde,31,Defender,Germany,1800000.0
7,Kiliann Sildillia,19,Defender,France,1350000.0
8,Christian Günter,29,Defender,Germany,10800000.0
9,Kimberly Ezekwem,20,Defender,Germany,270000.0
10,Hugo Siquet,19,Defender,Belgium,6300000.0
11,Lukas Kübler,29,Defender,Germany,1800000.0
12,Jonathan Schmid,31,Defender,France,1350000.0
13,Yannik Keitel,22,midfield,Germany,3600000.0
14,Nicolas Höfler,32,midfield,Germany,2250000.0
15,Maximilian Eggestein,25,midfield,Germany,6750000.0
16,Janik Haberer,28,midfield,Germany,3600000.0
17,Vincenzo Grifo,28,attack,Italy,10800000.0
18,Noah Weißhaupt,20,attack,Germany,1170000.0
19,Roland Sallai,24,attack,Hungary,9000000.0
20,Kevin Schade,20,attack,Germany,6300000.0
21,Woo-yeong Jeong,22,attack,"Korea, South",4950000.0
22,Ermedin Demirovic,24,attack,Bosnia-Herzegovina,6750000.0
23,Lucas Höler,27,attack,Germany,5850000.0
24,Nils Petersen,33,attack,Germany,1620000.0
25,Nishan Burkart,22,attack,Switzerland,315000.0
26,Vincent Vermeij,27,attack,Netherlands,293000.0
0,Robin Zentner,27,Goalkeeper,Germany,4500000.0
1,Finn Dahmen,24,Goalkeeper,Germany,1800000.0
2,Lasse Rieß,20,Goalkeeper,Germany,180000.0
3,Moussa Niakhaté,26,Defender,France,16200000.0
4,Jeremiah St. Juste,25,Defender,Netherlands,14400000.0
5,David Nemeth,21,Defender,Austria,2700000.0
6,Stefan Bell,30,Defender,Germany,2250000.0
7,Alexander Hack,28,Defender,Germany,2250000.0
8,Aarón Martín,24,Defender,Spain,4500000.0
9,Anderson Lucoqui,24,Defender,Angola,2250000.0
10,Silvan Widmer,29,Defender,Switzerland,4500000.0
11,Daniel Brosinski,33,Defender,Germany,540000.0
12,Anton Stach,23,midfield,Germany,7200000.0
13,Niklas Tauer,21,midfield,Germany,900000.0
14,Leandro Barreiro,22,midfield,Luxembourg,8100000.0
15,Dominik Kohr,28,midfield,Germany,5400000.0
16,Merveille Papela,21,midfield,Germany,360000.0
17,Jean-Paul Boëtius,28,midfield,Netherlands,3600000.0
18,Jae-sung Lee,29,midfield,"Korea, South",3150000.0
19,Kevin Stöger,28,midfield,Austria,2069999.9999999998
20,Delano Burgzorg,23,attack,Netherlands,675000.0
21,Paul Nebel,19,attack,Germany,1170000.0
22,Jonathan Burkardt,21,attack,Germany,15300000.0
23,Karim Onisiwo,30,attack,Austria,3150000.0
24,Marcus Ingvartsen,26,attack,Denmark,2700000.0
0,Rafal Gikiewicz,34,Goalkeeper,Poland,1350000.0
1,Tomas Koubek,29,Goalkeeper,Czech Republic,1080000.0
2,Daniel Klein,21,Goalkeeper,Germany,180000.0
3,Felix Uduokhai,24,Defender,Germany,10800000.0
4,Reece Oxford,23,Defender,England,9000000.0
5,Jeffrey Gouweleeuw,30,Defender,Netherlands,4050000.0
6,Frederik Winther,21,Defender,Denmark,900000.0
7,Iago,25,Defender,Brazil,4050000.0
8,Mads Pedersen,25,Defender,Denmark,1350000.0
9,Robert Gumny,23,Defender,Poland,2250000.0
10,Raphael Framberger,26,Defender,Germany,1620000.0
11,Niklas Dorsch,24,midfield,Germany,9000000.0
12,Carlos Gruezo,26,midfield,Ecuador,2880000.0
13,Tobias Strobl,31,midfield,Germany,900000.0
14,Arne Maier,23,midfield,Germany,4500000.0
15,Jan Moravek,32,midfield,Czech Republic,450000.0
16,Tim Civeja,20,midfield,Germany,180000.0
17,Fredrik Jensen,24,midfield,Finland,1800000.0
18,Rubén Vargas,23,attack,Switzerland,8100000.0
19,Lasse Günther,19,attack,Germany,900000.0
20,André Hahn,31,attack,Germany,1980000.0
21,Daniel Caligiuri,34,attack,Italy,1350000.0
22,Noah Joel Sarenren Bazee,25,attack,Germany,900000.0
23,Ricardo Pepi,19,attack,United States,9000000.0
24,Michael Gregoritsch,27,attack,Austria,3150000.0
25,Florian Niederlechner,31,attack,Germany,2700000.0
26,Andi Zeqiri,22,attack,Switzerland,2700000.0
27,Alfred Finnbogason,33,attack,Iceland,900000.0
0,Alexander Schwolow,29,Goalkeeper,Germany,3150000.0
1,Oliver Christensen,23,Goalkeeper,Denmark,1350000.0
2,Rune Jarstein,37,Goalkeeper,Norway,360000.0
3,Marcel Lotka,20,Goalkeeper,Poland,360000.0
4,Nils-Jonathan Körber,25,Goalkeeper,Germany,270000.0
5,Niklas Stark,26,Defender,Germany,6750000.0
6,Marc Oliver Kempf,27,Defender,Germany,4950000.0
7,Márton Dárdai,20,Defender,Germany,4500000.0
8,Dedryck Boyata,31,Defender,Belgium,3150000.0
9,Linus Gechter,18,Defender,Germany,3150000.0
10,Maximilian Mittelstädt,25,Defender,Germany,4050000.0
11,Fredrik André Björkan,23,Defender,Norway,2250000.0
12,Marvin Plattenhardt,30,Defender,Germany,1800000.0
13,Lukas Klünter,25,Defender,Germany,1620000.0
14,Peter Pekarik,35,Defender,Slovakia,720000.0
15,Lucas Tousart,24,midfield,France,7200000.0
16,Santiago Ascacíbar,25,midfield,Argentina,6750000.0
17,Suat Serdar,24,midfield,Germany,8100000.0
18,Jurgen Ekkelenkamp,22,midfield,Netherlands,3150000.0
19,Vladimir Darida,31,midfield,Czech Republic,2880000.0
20,Jonas Michelbrink,20,midfield,Germany,450000.0
21,Kevin-Prince Boateng,35,midfield,Ghana,810000.0
22,Myziane Maolida,23,attack,France,4050000.0
23,Anton Kade,18,attack,Germany,450000.0
24,Marco Richter,24,attack,Germany,6300000.0
25,Kelian Nsona,19,attack,France,1080000.0
26,Dong-jun Lee,25,attack,"Korea, South",1080000.0
27,Stevan Jovetic,32,attack,Montenegro,2700000.0
28,Davie Selke,27,attack,Germany,1620000.0
29,Ishak Belfodil,30,attack,Algeria,1530000.0
30,Ruwen Werthmüller,21,attack,Switzerland,113000.0
0,Marvin Schwäbe,26,Goalkeeper,Germany,2700000.0
1,Timo Horn,28,Goalkeeper,Germany,2520000.0
2,Jonas Urbig,18,Goalkeeper,Germany,270000.0
3,Matthias Köbbing,24,Goalkeeper,Germany,23000.0
4,Luca Kilian,22,Defender,Germany,3600000.0
5,Timo Hübers,25,Defender,Germany,2700000.0
6,Julian Chabot,24,Defender,Germany,2520000.0
7,Bright Arrey-Mbi,19,Defender,Germany,1170000.0
8,Jonas Hector,31,Defender,Germany,3600000.0
9,Jannes Horn,25,Defender,Germany,2700000.0
10,Benno Schmitz,27,Defender,Germany,2250000.0
11,Kingsley Ehizibue,26,Defender,Nigeria,1170000.0
12,Ellyes Skhiri,26,midfield,Tunisia,11700000.0
13,Dejan Ljubicic,24,midfield,Austria,5400000.0
14,Salih Özcan,24,midfield,Turkey,6300000.0
15,Niklas Hauptmann,25,midfield,Germany,450000.0
16,Mathias Olesen,21,midfield,Luxembourg,180000.0
17,Ondrej Duda,27,midfield,Slovakia,4500000.0
18,Louis Schaub,27,midfield,Austria,1620000.0
19,Tomas Ostrak,22,midfield,Czech Republic,675000.0
20,Florian Kainz,29,attack,Austria,3150000.0
21,Marvin Obuz,20,attack,Germany,270000.0
22,Jan Thielmann,19,attack,Germany,4950000.0
23,Tim Lemperle,20,attack,Germany,900000.0
24,Kingsley Schindler,28,attack,Germany,720000.0
25,Mark Uth,30,attack,Germany,2700000.0
26,Sebastian Andersson,30,attack,Sweden,2700000.0
27,Anthony Modeste,33,attack,France,2700000.0
0,Frederik Rönnow,29,Goalkeeper,Denmark,1800000.0
1,Andreas Luthe,35,Goalkeeper,Germany,810000.0
2,Jakob Busk,28,Goalkeeper,Denmark,225000.0
3,Robin Knoche,29,Defender,Germany,5400000.0
4,Timo Baumgartl,26,Defender,Germany,4500000.0
5,Paul Jaeckel,23,Defender,Germany,3150000.0
6,Dominique Heintz,28,Defender,Germany,2700000.0
7,Mathis Bruns,18,Defender,Germany,180000.0
8,Niko Gießelmann,30,Defender,Germany,2069999.9999999998
9,Bastian Oczipka,33,Defender,Germany,540000.0
10,Julian Ryerson,24,Defender,Norway,3600000.0
11,Christopher Trimmel,35,Defender,Austria,900000.0
12,Rani Khedira,28,midfield,Germany,4950000.0
13,Grischa Prömel,27,midfield,Germany,4950000.0
14,Kevin Möhwald,28,midfield,Germany,1800000.0
15,Levin Öztunali,26,midfield,Germany,1620000.0
16,András Schäfer,22,midfield,Hungary,1440000.0
17,Maximilian Somnitz,18,midfield,Germany,180000.0
18,Genki Haraguchi,30,midfield,Japan,2700000.0
19,Laurenz Dehl,20,midfield,Germany,225000.0
20,Keita Endo,24,attack,Japan,900000.0
21,Sheraldo Becker,27,attack,Suriname,3600000.0
22,Taiwo Awoniyi,24,attack,Nigeria,13500000.0
23,Andreas Voglsammer,30,attack,Germany,1080000.0
24,Sven Michel,31,attack,Germany,1080000.0
25,Kevin Behrens,31,attack,Germany,900000.0
26,Anthony Ujah,31,attack,Nigeria,540000.0
27,Suleiman Abdullahi,25,attack,Nigeria,360000.0
0,Stefan Ortega,29,Goalkeeper,Germany,5400000.0
1,Stefanos Kapino,28,Goalkeeper,Greece,630000.0
2,Arne Schulz,19,Goalkeeper,Germany,90000.0
3,Amos Pieper,24,Defender,Germany,6300000.0
4,Joakim Nilsson,28,Defender,Sweden,3150000.0
5,Guilherme Ramos,24,Defender,Portugal,1800000.0
6,Andrés Andrade,23,Defender,Panama,1800000.0
7,George Bello,20,Defender,United States,3600000.0
8,Jacob Barrett Laursen,27,Defender,Denmark,1530000.0
9,Cédric Brunner,28,Defender,Switzerland,2880000.0
10,Nathan de Medina,24,Defender,Belgium,675000.0
11,Manuel Prietl,30,midfield,Austria,1620000.0
12,Fabian Kunze,23,midfield,Germany,900000.0
13,Alessandro Schöpf,28,midfield,Austria,2250000.0
14,Burak Ince,18,midfield,Turkey,2250000.0
15,Sebastian Vasiliadis,24,midfield,Greece,1800000.0
16,Gonzalo Castro,34,midfield,Germany,810000.0
17,Masaya Okugawa,25,midfield,Japan,4500000.0
18,Vladislav Cherny,18,midfield,Russia,90000.0
19,Robin Hack,23,attack,Germany,2069999.9999999998
20,Patrick Wimmer,20,attack,Austria,7200000.0
21,Bryan Lasme,23,attack,France,1620000.0
22,Florian Krüger,23,attack,Germany,2250000.0
23,Janni Serra,24,attack,Germany,1620000.0
24,Fabian Klos,34,attack,Germany,360000.0
0,Manuel Riemann,33,Goalkeeper,Germany,900000.0
1,Michael Esser,34,Goalkeeper,Germany,450000.0
2,Tjark Ernst,19,Goalkeeper,Germany,180000.0
3,Paul Grave,20,Goalkeeper,Germany,90000.0
4,Armel Bella Kotchap,20,Defender,Germany,6750000.0
5,Maxim Leitsch,23,Defender,Germany,4500000.0
6,Erhan Masovic,23,Defender,Serbia,2250000.0
7,Vasilios Lampropoulos,32,Defender,Greece,630000.0
8,Saulo Decarli,30,Defender,Switzerland,270000.0
9,Danilo Soares,30,Defender,Brazil,1800000.0
10,Konstantinos Stafylidis,28,Defender,Greece,1620000.0
11,Moritz Römling,20,Defender,Germany,180000.0
12,Herbert Bockhorn,27,Defender,Germany,675000.0
13,Cristian Gamboa,32,Defender,Costa Rica,630000.0
14,Anthony Losilla,36,midfield,France,450000.0
15,Elvis Rexhbecaj,24,midfield,Germany,3600000.0
16,Eduard Löwen,25,midfield,Germany,2700000.0
17,Patrick Osterhage,22,midfield,Germany,810000.0
18,Robert Tesche,34,midfield,Germany,315000.0
19,Milos Pantovic,25,midfield,Serbia,1530000.0
20,Gerrit Holtmann,27,attack,Philippines,4050000.0
21,Christopher Antwi-Adjei,28,attack,Ghana,900000.0
22,Danny Blum,31,attack,Germany,810000.0
23,Takuma Asano,27,attack,Japan,2250000.0
24,Tarsis Bonga,25,attack,Germany,270000.0
25,Tom Weilandt,29,attack,Germany,225000.0
26,Jürgen Locadia,28,attack,Netherlands,2700000.0
27,Simon Zoller,30,attack,Germany,1620000.0
28,Sebastian Polter,31,attack,Germany,1350000.0
29,Luis Hartwig,19,attack,Germany,180000.0
0,Andreas Linde,28,Goalkeeper,Sweden,720000.0
1,Sascha Burchert,32,Goalkeeper,Germany,405000.0
2,Marius Funk,26,Goalkeeper,Germany,270000.0
3,Leon Schaffran,23,Goalkeeper,Germany,113000.0
4,Lasse Schulz,19,Goalkeeper,Finland,113000.0
5,Maximilian Bauer,22,Defender,Germany,1800000.0
6,Nick Viergever,32,Defender,Netherlands,900000.0
7,Gideon Jung,27,Defender,Germany,630000.0
8,Abdourahmane Barry,22,Defender,France,270000.0
9,Oliver Fobassam,19,Defender,Germany,9.0
10,Jetro Willems,28,Defender,Netherlands,1350000.0
11,Luca Itter,23,Defender,Germany,1170000.0
12,Marco Meyerhöfer,26,Defender,Germany,1980000.0
13,Simon Asta,21,Defender,Germany,540000.0
14,Max Christiansen,25,midfield,Germany,1350000.0
15,Sebastian Griesbeck,31,midfield,Germany,720000.0
16,Paul Seguin,27,midfield,Germany,1980000.0
17,Julian Green,26,midfield,United States,1080000.0
18,Tobias Raschl,22,midfield,Germany,540000.0
19,Timothy Tillman,23,midfield,Germany,1620000.0
20,Jeremy Dudziak,26,midfield,Tunisia,1620000.0
21,Jamie Leweling,21,attack,Germany,4050000.0
22,Branimir Hrgota,29,attack,Sweden,1800000.0
23,Afimico Pululu,23,attack,Angola,1350000.0
24,Havard Nielsen,28,attack,Norway,1080000.0
25,Jessic Ngankam,21,attack,Germany,1080000.0
26,Dickson Abiama,23,attack,Nigeria,810000.0
27,Robin Kehr,22,attack,Germany,135000.0
